LZW	5	Lempel-Ziv & Welch	0
DEFLATE	32946	Deflate compression	0
DCS	32947	Kodak DCS encoding
JBIG	34661	ISO JBIG
SGILOG	34676	SGI Log
LZMA	34925	LZMA2
OJPEG	6	!6.0 JPEG [Old-style JPEG]
JPEG	7	%JPEG DCT compression	0
NEXT	32766	NeXT 2-bit RLE
PACKBITS	32773	Macintosh RLE	0
THUNDERSCAN	32809	ThunderScan RLE
PIXARLOG	32909	Pixar companded 11bit ZIP
CCITTRLE	2	CCITT modified Huffman RLE
CCITTRLEW	32771	#1 w/ word alignment
CCITTFAX3	3	CCITT Group 3 fax encoding [CCITT T.4 (TIFF 6 name)]
CCITTFAX4	4	CCITT Group 4 fax encoding [CCITT T.6 (TIFF 6 name)]	0
NONE	1	dump mode	0
